user_names,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,retweetedTweet,inReplyToTweetId,results,result_count,result_counts,final_score,user_names
AppleWorkers,4.258782304425607e+18,0.0,0.0,0.0,0.0,4.258782304425607e+18,0.0,0.0,0.0,3,3,0.0,AppleWorkers
Arabictrader,2.7258190348827034e+18,1.0,3.0,1.0,1.0,2.7258190348827034e+18,0.0,0.0,0.0,2,2,0.0,Arabictrader
Areagan_22,1.435293643049427e+18,0.0,0.0,0.0,0.0,1.435293643049427e+18,0.0,0.0,0.0,1,1,0.0,Areagan_22
ArgusResearch,1.420075632369836e+18,0.0,0.0,1.0,0.0,1.420075632369836e+18,0.0,0.0,0.0,1,1,0.0,ArgusResearch
ArianneMahuad,1.4149745186747433e+18,0.0,0.0,0.0,0.0,1.4149745186747433e+18,0.0,0.0,0.0,1,1,0.0,ArianneMahuad
Arsenalhurtme,2.850298665001136e+18,0.0,0.0,1.0,0.0,2.850295484682883e+18,0.0,2.850296127539753e+18,0.0,2,2,0.0,Arsenalhurtme
ArtmanagementAY,1.3828410334116332e+18,0.0,0.0,0.0,0.0,1.3828410334116332e+18,0.0,0.0,0.0,1,1,0.0,ArtmanagementAY
Arts_Addict,1.4202955445057823e+18,0.0,0.0,0.0,0.0,1.4202955445057823e+18,0.0,0.0,0.0,1,1,0.0,Arts_Addict
Ashish3095,1.4351524767102034e+18,0.0,0.0,0.0,0.0,1.4351524767102034e+18,0.0,0.0,0.0,1,1,0.0,Ashish3095
Asimoan28,1.3587663683724943e+18,1.0,2.0,2.0,0.0,1.358762121090265e+18,0.0,1.358764693725274e+18,0.0,1,1,0.0,Asimoan28
AstroCryptoGuru,1.431325288382681e+18,1.0,1.0,31.0,0.0,1.431325288382681e+18,0.0,0.0,0.0,1,1,0.0,AstroCryptoGuru
AtcsUsa,1.4378142290387567e+19,2.0,0.0,30.0,1.0,1.4376675763637633e+19,0.0,5.749897681989722e+18,0.0,10,10,0.0,AtcsUsa
AtoZ_Markets,1.4018144158428733e+18,0.0,0.0,0.0,0.0,1.4018144158428733e+18,0.0,0.0,0.0,1,1,0.0,AtoZ_Markets
AtrocityIsKing,1.4298335446673695e+18,5.0,0.0,23.0,0.0,1.4298335446673695e+18,0.0,0.0,0.0,1,1,0.0,AtrocityIsKing
